t,mean_speed,coherence,n_clusters,mean_cluster_size,n_edges,mean_novelty,mean_boreness,mean_load,n_joined,n_detached,n_merges,mean_omega0,std_omega0
127,0.6576533211415279,0.4291753632956148,18,2.7777777777777777,35,0.2749010950763921,0.014268224891405352,2.178321260976452,0,1,0,0.1512899647089634,0.009111315162920573
128,0.654091850201162,0.4430003466108568,17,2.9411764705882355,36,0.25712792366569237,0.015328187305063225,2.205312207147378,1,0,1,0.1512899647089634,0.009111315162920573
129,0.6528324081757336,0.4429811046923208,17,2.9411764705882355,36,0.22706795665004742,0.016115132302236032,2.2005173637010005,0,0,0,0.1512899647089634,0.009111315162920573
130,0.656703903191282,0.42218493744537905,15,3.3333333333333335,38,0.1963559113588973,0.01669079025375706,2.2290209890985677,2,0,2,0.1512899647089634,0.009111315162920573
131,0.6622421625012528,0.4522291810622889,14,3.5714285714285716,39,0.4940110069715362,0.015479522626564475,2.429312185895344,1,0,1,0.1512899647089634,0.009111315162920573
132,0.6626330713594946,0.4518640670114601,13,3.8461538461538463,40,0.44523160980498644,0.01416081473934877,2.4070681521673083,1,0,1,0.1512899647089634,0.009111315162920573
133,0.6641986814576275,0.4518452506029199,13,3.8461538461538463,40,0.3918288302598303,0.013179817706565199,2.374544187869135,0,0,0,0.1512899647089634,0.009111315162920573
134,0.6676310034305678,0.45969907493679313,12,4.166666666666667,42,0.3612323912341528,0.01225177693167021,2.41832460202542,2,0,1,0.1512899647089634,0.009111315162920573
135,0.6682051132132583,0.44318210548577663,13,3.8461538461538463,41,0.40783741264942913,0.011227359602742801,2.3976413230533535,1,2,1,0.1512899647089634,0.009111315162920573
136,0.6719354484174669,0.44317642708085814,13,3.8461538461538463,41,0.3588992716955722,0.010475955026966379,2.3635437196151154,0,0,0,0.1512899647089634,0.009111315162920573
137,0.6712937599796222,0.4431675573954042,13,3.8461538461538463,41,0.31616573058605746,0.00995381939827679,2.3023525557999633,0,0,0,0.1512899647089634,0.009111315162920573
138,0.6760001769836065,0.44310350869086423,12,4.166666666666667,42,0.27818087574888956,0.009576108598013243,2.3026483635355808,1,0,1,0.1512899647089634,0.009111315162920573
139,0.6819789326264949,0.4430643906111293,12,4.166666666666667,42,0.245169294688673,0.009319094170219328,2.2479064553778887,0,0,0,0.1512899647089634,0.009111315162920573
140,0.6841463418429693,0.4430221618460405,12,4.166666666666667,42,0.21567320825737624,0.009253504183614007,2.29325758387794,0,0,0,0.1512899647089634,0.009111315162920573
141,0.6880176966638096,0.46074872777428477,11,4.545454545454546,43,0.20869906544863132,0.00905884377204759,2.263609683461814,1,0,1,0.1512899647089634,0.009111315162920573
142,0.6943145643958784,0.47234048255121325,10,5.0,44,0.21743934636303738,0.008715823745031001,2.259256290962299,1,0,1,0.1512899647089634,0.009111315162920573
143,0.6960341028802252,0.47233397691774204,10,5.0,44,0.19504288920062712,0.008235763880328617,2.1968702458787335,0,0,0,0.1512899647089634,0.009111315162920573
144,0.6963137887137378,0.47232407750587363,11,4.545454545454546,43,0.17693261604381294,0.007911823451017033,2.1325429538950558,0,1,0,0.1512899647089634,0.009111315162920573
145,0.6994597518185273,0.47453552374375024,11,4.545454545454546,43,0.32167704619278403,0.007305298448178078,2.2062937659172466,1,1,1,0.1512899647089634,0.009111315162920573
146,0.7020597132295687,0.4745385785876727,12,4.166666666666667,43,0.2854861118197459,0.007170275748226864,2.2040073207430297,1,1,0,0.1512899647089634,0.009111315162920573
147,0.7027751856827144,0.3967821391743274,11,4.545454545454546,44,0.4641986751683569,0.006294929111474679,2.3320559453394005,1,0,1,0.1512899647089634,0.009111315162920573
148,0.7064763651170254,0.3968078448057119,11,4.545454545454546,44,0.4089736199375924,0.005604841804407652,2.3275367271413456,0,0,0,0.1512899647089634,0.009111315162920573
149,0.7037806011396921,0.48322954774525756,10,5.0,45,0.4910118604163875,0.005235300113034452,2.3987215326339246,1,0,1,0.1512899647089634,0.009111315162920573
150,0.7055739882740839,0.5287363406467358,9,5.555555555555555,46,0.4844318983201293,0.004936362292256976,2.448744951280147,1,0,1,0.1512899647089634,0.009111315162920573
151,0.7029760517362378,0.5287602443381796,9,5.555555555555555,46,0.42627584194952844,0.004803388297324866,2.363329864385769,0,0,0,0.1512899647089634,0.009111315162920573
152,0.70006754615004,0.5287801158426247,10,5.0,45,0.5309613006232022,0.004071410149974023,2.4207500497859606,0,1,0,0.1512899647089634,0.009111315162920573
153,0.697306212654968,0.5287959486108158,10,5.0,45,0.46686130541104087,0.003530297046286543,2.412246735305654,0,0,0,0.1512899647089634,0.009111315162920573
154,0.7000248003100252,0.5288077361661202,10,5.0,44,0.4114225180563541,0.003149704839457524,2.3912009748780845,0,1,0,0.1512899647089634,0.009111315162920573
